GENE,Cfl1,Hbb-bs,Hbb-y,Rpl13,Rpl14,Rpl18a,Rpl32,Rpl41,Rps14,Rps19,Rps26,Rps27,Rps29,Rps9,Tmsb4x,Ubb,mt-Cytb,mt-Nd1
Cfl1,1.0,-0.19664219009879413,-0.19061525962453738,0.7361977644024199,0.7085799864643131,0.7096918697407028,0.7145711575975119,0.6848288528293696,0.6607867303974252,0.6940425552614027,0.6894064510057861,0.6273755538424924,0.7301021492123331,0.7313362884221271,0.6108867536970374,0.5365451677912134,0.5702728228767864,0.5333709515346847
Hbb-bs,-0.19664219009879413,1.0,0.05824916860682394,-0.21094963305581046,-0.1791423523261749,-0.20996522759566671,-0.19323123474204312,-0.16675881904163742,-0.17960599561187868,-0.2025350962808193,-0.20403791882391017,-0.22022548555340696,-0.1909436495233441,-0.20308774937477914,-0.17826106261239272,-0.10838087592079694,-0.1821097786447456,-0.18226451993837123
Hbb-y,-0.19061525962453738,0.05824916860682394,1.0,-0.2058274285872429,-0.17332105639800013,-0.1860310663810725,-0.18583342076277082,-0.1505429958973864,-0.18212722844689394,-0.18951651195529468,-0.20313111936366224,-0.20006195582361477,-0.19064032520266833,-0.18618130055857143,-0.1617282693109199,-0.09579636950365374,-0.1811298659653631,-0.17419112394901942
Rpl13,0.7361977644024199,-0.21094963305581046,-0.2058274285872429,1.0,0.7913850760176555,0.8142808297762877,0.8071397040468954,0.8026635551540264,0.7731465037151409,0.7667117188503241,0.8156220247545506,0.7496804629111151,0.7857054474305701,0.799679834811186,0.4558686841161368,0.6048643730028962,0.6247024324835196,0.6101012131807908
Rpl14,0.7085799864643131,-0.1791423523261749,-0.17332105639800013,0.7913850760176555,1.0,0.7641125744096858,0.7800004995802943,0.755127908675879,0.7295941211144829,0.7454556878053468,0.7801204265748511,0.7092133410585584,0.7465885156566688,0.7862188155373704,0.41027291038406827,0.5397564242025943,0.5955979103771615,0.5662303281735925
Rpl18a,0.7096918697407028,-0.20996522759566671,-0.1860310663810725,0.8142808297762877,0.7641125744096858,1.0,0.7766438694159346,0.7699094813457068,0.74658395731583,0.7502046792867137,0.793205778770598,0.7347759170921578,0.7647097139780371,0.768184987090735,0.45397321039321376,0.5629130419980646,0.6026488507992047,0.5803646856572616
Rpl32,0.7145711575975119,-0.19323123474204312,-0.18583342076277082,0.8071397040468954,0.7800004995802943,0.7766438694159346,1.0,0.7541818252107584,0.7495689320645671,0.7499660216706885,0.7815632199842698,0.7232256136060407,0.759011836879333,0.7802936082521795,0.43434848607603077,0.5362855168920663,0.5893022563363046,0.5624208007313282
Rpl41,0.6848288528293696,-0.16675881904163742,-0.1505429958973864,0.8026635551540264,0.755127908675879,0.7699094813457068,0.7541818252107584,1.0,0.7440572233780662,0.7423895454534363,0.7799464971940591,0.7157983047635094,0.7401758621765252,0.7504609663120138,0.4167841954068115,0.6094375049906974,0.5967667067048908,0.6041984477618713
Rps14,0.6607867303974252,-0.17960599561187868,-0.18212722844689394,0.7731465037151409,0.7295941211144829,0.74658395731583,0.7495689320645671,0.7440572233780662,1.0,0.7131231737389606,0.7486827390178574,0.7132874222432233,0.7327880394203963,0.7350889374062995,0.3977897936227643,0.5688382303471428,0.5756844138350329,0.5638267439714677
Rps19,0.6940425552614027,-0.2025350962808193,-0.18951651195529468,0.7667117188503241,0.7454556878053468,0.7502046792867137,0.7499660216706885,0.7423895454534363,0.7131231737389606,1.0,0.7547177741276085,0.6955648220825251,0.7361170054464193,0.7471513926943003,0.4424561347023704,0.5672940265334055,0.5935711235792194,0.5893623331131389
Rps26,0.6894064510057861,-0.20403791882391017,-0.20313111936366224,0.8156220247545506,0.7801204265748511,0.793205778770598,0.7815632199842698,0.7799464971940591,0.7486827390178574,0.7547177741276085,1.0,0.7362755243682668,0.7550320587760668,0.768840141017345,0.40471334286786964,0.577329704617185,0.6043310065904074,0.6022310165131229
